"Name","exp_name","_wandb","_runtime"
"exp_name: ppo_gridnet_selfplay_encode_decode","ppo_gridnet_selfplay_encode_decode","","660291"
"exp_name: ppo_gridnet_selfplay_diverse_encode_decode","ppo_gridnet_selfplay_diverse_encode_decode","","634631"
"exp_name: ppo_gridnet_coacai_no_mask","ppo_gridnet_coacai_no_mask","","436564"
"exp_name: ppo_gridnet_diverse_encode_decode","ppo_gridnet_diverse_encode_decode","","421326"
"exp_name: ppo_gridnet_diverse_impala","ppo_gridnet_diverse_impala","","308338.88794994354"
"exp_name: ppo_gridnet_coacai_partial_mask","ppo_gridnet_coacai_partial_mask","","247989"
"exp_name: ppo_gridnet_coacai_naive","ppo_gridnet_coacai_naive","","240696"
"exp_name: ppo_diverse_impala","ppo_diverse_impala","","229201.56922245023"
"exp_name: ppo_gridnet_coacai","ppo_gridnet_coacai","","226603.84127783775"
"exp_name: ppo_gridnet_naive","ppo_gridnet_naive","","222602.19318437576"
"exp_name: ppo_gridnet_diverse","ppo_gridnet_diverse","","214742.4435350895"
"exp_name: ppo_coacai_naive","ppo_coacai_naive","","183176"
"exp_name: ppo_coacai_partial_mask","ppo_coacai_partial_mask","","179805"
"exp_name: ppo_coacai","ppo_coacai","","141125.07183241844"
"exp_name: ppo_coacai_no_mask","ppo_coacai_no_mask","","139675.58324170113"
"exp_name: ppo_diverse","ppo_diverse","","135263.00361537933"
